year_folder,gtd_file,vis_file,match_score,status
data_2022,GTD_Field_11_Block3_CIAT_2022.xlsx,VIS_Field_11_Block_3_CIAT_2022.csv,0.5714285714285714,PAIRED
data_2023,GTD_Block_1_CIAT_2023_corregido.xlsx,VIS_Block_1_CIAT_2023_corregido.csv,1.0,PAIRED
data_2023,GTD_Block_2_CIAT_2023.xlsx,VIS_Block_2_CIAT_2023.xlsx,1.0,PAIRED
data_2023,GTD_Block_3_CIAT_2023.xlsx,VIS_Block_3_CIAT_2023.xlsx,1.0,PAIRED
data_2023,GTD_Block_4_CIAT_2023_corregido.xlsx,VIS_Block_4_CIAT_2023.xlsx,0.8,PAIRED
data_2023,GTD_Field_7_FLAR_2023.xlsx,VIS_Field_7_FLAR_2023.xlsx,1.0,PAIRED
data_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 1_2024.xlsx,VIs_Field_8_Block 1_FLAR_2024.xlsx,1.0,PAIRED
data_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 2_2024.xlsx,VIs_Field_8_Block 2_FLAR_2024.xlsx,1.0,PAIRED
data_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 3_2024.xlsx,VIs_Field_8_Block 3_FLAR_2024.xlsx,1.0,PAIRED
data_2024,GTD_Field 11_ Alphalatice 3.xlsx,VIs_Field 11_ Alphalatice 3.csv,1.0,PAIRED
data_2024,GTD_Field 11_BCA 2 Bioz.xlsx,VIs_Field 11_BCA 2 Bioz.csv,1.0,PAIRED
data_2024,GTD_Field 11_F1C1_2024.xlsx,VIs_Field 11_F1C1_2024.csv,1.0,PAIRED
data_2024,GTD_Field 11_Patology.xlsx,VIs_Field 11_Patology.csv,1.0,PAIRED
data_2025,,Block 1_HIAAL PCT30_VIs_2025.csv,,UNMATCHED_VIS
data_2025,,Block 2_HIAAL Tropico_VIs_2025.csv,,UNMATCHED_VIS
data_2025,,Block 3_HIAAL_VIs_2025_New.csv,,UNMATCHED_VIS
data_2025,,Block 4_Pathology_VIs_2025_new.csv,,UNMATCHED_VIS
