YEAR,LOCATION,ORIGINAL_DATASET,MERGE_KEYS,gtd_llaves_total,gtd_llaves_integradas,kr1_cobertura_pct
2022,CIAT,Field_11_Block3_CIAT_2022,PLOT,990,957,96.6667
2023,CIAT,Block_1_CIAT_2023_corregido,PLOT,391,391,100.0
2023,CIAT,Block_2_CIAT_2023,PLOT,726,726,100.0
2023,CIAT,Block_3_CIAT_2023,PLOT,1287,1287,100.0
2023,CIAT,Block_4_CIAT_2023_corregido,PLOT,2819,2819,100.0
2023,FLAR,Field_7_FLAR_2023,PLOT+BLOCK,1332,1332,100.0
2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 1_2024,PLOT,1150,1150,100.0
2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 2_2024,PLOT,5428,5428,100.0
2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 3_2024,PLOT,294,294,100.0
2024,UNKNOWN,Field 11_ Alphalatice 3,PLOT,277,277,100.0
2024,UNKNOWN,Field 11_BCA 2 Bioz,PLOT,26,26,100.0
2024,UNKNOWN,Field 11_F1C1_2024,PLOT,1722,1722,100.0
2024,UNKNOWN,Field 11_Patology,PLOT,631,630,99.8415
